timestamp,evento,clase,confianza
2025-06-24_17-49-00,Persona detectada,person,0.86
2025-06-24_17-49-01,Persona detectada,person,0.87
2025-06-24_17-49-01,Persona detectada,person,0.86
2025-06-24_17-49-01,Persona detectada,person,0.86
2025-06-24_17-49-01,Persona detectada,person,0.87
2025-06-24_17-49-01,Persona detectada,person,0.89
2025-06-24_17-49-02,Persona detectada,person,0.78
2025-06-24_17-49-02,Persona detectada,person,0.74
2025-06-24_17-49-02,Persona detectada,person,0.81
2025-06-24_17-49-02,Persona detectada,person,0.80
2025-06-24_17-49-02,Persona detectada,person,0.84
2025-06-24_17-49-03,Persona detectada,person,0.82
2025-06-24_17-49-03,Persona detectada,person,0.80
2025-06-24_17-49-03,Persona detectada,person,0.76
2025-06-24_17-49-03,Persona detectada,person,0.77
2025-06-24_17-49-04,Persona detectada,person,0.85
2025-06-24_17-49-04,Persona detectada,person,0.88
2025-06-24_17-49-04,Persona detectada,person,0.87
2025-06-24_17-49-05,Persona detectada,person,0.85
2025-06-24_17-49-05,Persona detectada,person,0.88
2025-06-24_17-49-05,Persona detectada,person,0.90
2025-06-24_17-49-05,Persona detectada,person,0.86
2025-06-24_17-49-05,Persona detectada,person,0.81
2025-06-24_17-49-06,Persona detectada,person,0.77
2025-06-24_17-49-06,Persona detectada,person,0.81
2025-06-24_17-49-07,Persona detectada,person,0.63
2025-06-24_17-49-07,Persona detectada,person,0.89
2025-06-24_17-49-07,Persona detectada,person,0.78
2025-06-24_17-49-08,Persona detectada,person,0.79
2025-06-24_17-49-08,Persona detectada,person,0.87
2025-06-24_17-49-08,Persona detectada,person,0.87
2025-06-24_17-49-08,Persona detectada,person,0.71
2025-06-24_17-49-09,Persona detectada,person,0.75
2025-06-24_17-49-09,Persona detectada,person,0.64
2025-06-24_17-49-09,Persona detectada,person,0.60
2025-06-24_17-49-09,Persona detectada,person,0.62
2025-06-24_17-49-10,Persona detectada,person,0.68
2025-06-24_17-49-10,Persona detectada,person,0.88
2025-06-24_17-49-10,Persona detectada,person,0.87
2025-06-24_17-49-19,Persona detectada,person,0.84
2025-06-24_17-49-19,Persona detectada,person,0.75
2025-06-24_17-49-19,Persona detectada,person,0.85
2025-06-24_17-49-20,Persona detectada,person,0.86
2025-06-24_17-49-20,Persona detectada,person,0.76
2025-06-24_17-49-20,Persona detectada,person,0.78
2025-06-24_17-49-21,Persona detectada,person,0.83
2025-06-24_17-49-21,Persona detectada,person,0.74
2025-06-24_17-49-21,Persona detectada,person,0.79
2025-06-24_17-49-21,Persona detectada,person,0.64
2025-06-24_17-49-22,Persona detectada,person,0.82
2025-06-24_17-49-22,Persona detectada,person,0.82
2025-06-24_17-49-22,Persona detectada,person,0.69
2025-06-24_17-49-22,Persona detectada,person,0.57
2025-06-24_17-49-23,Persona detectada,person,0.73
2025-06-24_17-49-23,Persona detectada,person,0.63
2025-06-24_17-49-23,Persona detectada,person,0.60
2025-06-24_17-49-23,Persona detectada,person,0.55
2025-06-24_17-49-24,Persona detectada,person,0.59
2025-06-24_17-49-24,Persona detectada,person,0.53
2025-06-24_17-49-24,Persona detectada,person,0.72
2025-06-24_17-49-24,Persona detectada,person,0.59
2025-06-24_17-49-24,Persona detectada,person,0.78
2025-06-24_17-49-25,Persona detectada,person,0.80
2025-06-24_17-49-25,Persona detectada,person,0.52
2025-06-24_17-49-26,Persona detectada,person,0.78
2025-06-24_17-49-26,Persona detectada,person,0.59
2025-06-24_17-49-26,Persona detectada,person,0.69
2025-06-24_17-49-26,Persona detectada,person,0.55
2025-06-24_17-49-27,Persona detectada,person,0.78
2025-06-24_17-49-27,Persona detectada,person,0.65
2025-06-24_17-49-27,Persona detectada,person,0.73
2025-06-24_17-49-27,Persona detectada,person,0.51
2025-06-24_17-49-28,Persona detectada,person,0.79
2025-06-24_17-49-28,Persona detectada,person,0.68
2025-06-24_17-49-28,Persona detectada,person,0.56
2025-06-24_17-49-28,Persona detectada,person,0.65
2025-06-24_17-49-29,Persona detectada,person,0.84
2025-06-24_17-49-29,Persona detectada,person,0.67
2025-06-24_17-49-29,Persona detectada,person,0.71
2025-06-24_17-49-29,Persona detectada,person,0.62
2025-06-24_17-49-29,Persona detectada,person,0.75
2025-06-24_17-49-30,Persona detectada,person,0.81
2025-06-24_17-49-30,Persona detectada,person,0.79
2025-06-24_17-49-30,Persona detectada,person,0.82
2025-06-24_17-49-30,Persona detectada,person,0.73
2025-06-24_17-49-31,Persona detectada,person,0.80
2025-06-24_17-49-31,Persona detectada,person,0.85
2025-06-24_17-49-31,Persona detectada,person,0.84
2025-06-24_17-49-31,Persona detectada,person,0.64
2025-06-24_17-49-32,Persona detectada,person,0.68
2025-06-24_17-49-32,Persona detectada,person,0.52
2025-06-24_17-49-32,Persona detectada,person,0.69
2025-06-24_17-49-33,Persona detectada,person,0.56
2025-06-24_17-49-33,Persona detectada,person,0.51
2025-06-24_17-49-33,Persona detectada,person,0.53
2025-06-24_17-49-33,Persona detectada,person,0.71
2025-06-24_17-49-33,Persona detectada,person,0.71
2025-06-24_17-49-33,Persona detectada,person,0.55
2025-06-24_17-49-34,Persona detectada,person,0.64
2025-06-24_17-49-34,Persona detectada,person,0.70
2025-06-24_17-49-34,Persona detectada,person,0.72
2025-06-24_17-49-35,Persona detectada,person,0.66
2025-06-24_17-49-35,Persona detectada,person,0.83
2025-06-24_17-49-35,Persona detectada,person,0.58
